year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp8ct027293,wa,4.1,17274,black,gray,nissan-infiniti lt,10800,10600,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp4ct024892,wa,4.2,23420,silver,beige,nissan-infiniti lt,10500,10300,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv0cw702939,pa,4.4,42405,blue,gray,nissan-infiniti lt,15000,15100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv6cw363457,pa,4.2,47019,blue,black,nissan-infiniti lt,15000,15900,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1cc814709,il,3.9,31084,white,black,nissan-infiniti lt,17100,18800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6ap5cl717422,nv,3.6,32768,red,gray,innovate auto finance,10250,10600,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv6cw354340,il,2.7,33763,burgundy,beige,nissan-infiniti lt,15600,17000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv0cw359727,tn,4.4,36032,gray,tan,nissan-infiniti lt,15450,18000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap5cc811800,il,3.3,38005,black,black,nissan-infiniti lt,16400,17500,Mon Dec 22 2014 13:00:00 GMT-0800 (PST)
2012,Nissan,NV,1500 S,Van,automatic,1n6bf0kl6cn100218,tn,5,7859,white,gray,nissan north america inc.,17950,17400,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv8cw704454,nj,3.9,49188,silver,black,nissan-infiniti lt,14800,13700,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv0cw701421,tn,4.2,57507,black,black,nissan-infiniti lt,12700,13000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap4cc868022,tn,4.3,30857,blue,black,nissan-infiniti lt,17650,19400,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap4cc802571,il,3.5,40579,black,gray,nissan-infiniti lt,16850,16000,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
